shipment_id,origin,destination,route_type,material,quantity_tonnes,distance_km,freight_cost_inr,shipment_date,transporter
SHP01970,Chennai,Bangalore,Short,Textiles,18.5,352.2,18399,2024-04-30,Om Sai Transport
SHP01971,Chennai,Bangalore,Short,Chemicals,24.4,351.5,24121,2024-04-30,SafeExpress
SHP01972,Ahmedabad,Mumbai,Medium,Chemicals,17.1,530.6,21857,2024-04-30,TCI Freight
SHP01973,Kolkata,Bhubaneswar,Medium,Chemicals,19.4,439.5,21860,2024-04-30,Shivam Freight Co
SHP01974,Bangalore,Hyderabad,Medium,Chemicals,11.8,568.4,15729,2024-04-30,TCI Freight
SHP01975,Bangalore,Hyderabad,Medium,FMCG,13.4,568.6,18252,2024-04-30,VRL Logistics
SHP01976,Bangalore,Hyderabad,Medium,Steel Coils,15.4,569.1,20952,2024-04-30,VRL Logistics
SHP01977,Mumbai,Delhi,Long,Textiles,17.8,1417.9,51029,2024-04-30,SafeExpress
SHP01978,Mumbai,Delhi,Long,Chemicals,18.2,1420.9,52725,2024-04-30,SafeExpress
SHP01979,Mumbai,Delhi,Long,Packaged Foods,24.8,1423.5,71467,2024-04-30,VRL Logistics
SHP01980,Delhi,Kolkata,Long,Chemicals,21.5,1508.7,63970,2024-04-30,Western Carriers
SHP01981,Mumbai,Pune,Short,FMCG,10.9,153.3,4978,2024-05-01,TCI Freight
SHP01982,Mumbai,Pune,Short,Packaged Foods,20.5,153.2,9432,2024-05-01,VRL Logistics
SHP01983,Mumbai,Pune,Short,Chemicals,24.2,153.8,11122,2024-05-01,Shivam Freight Co
SHP01984,Delhi,Jaipur,Short,Packaged Foods,14.1,283.6,11815,2024-05-01,SafeExpress
SHP01985,Delhi,Jaipur,Short,Textiles,19.8,280.1,16580,2024-05-01,Om Sai Transport
SHP01986,Chennai,Bangalore,Short,Chemicals,21.7,346.2,20079,2024-05-01,SafeExpress
SHP01987,Ahmedabad,Mumbai,Medium,Automobile Parts,17.2,526.1,22256,2024-05-01,Western Carriers
SHP01988,Ahmedabad,Mumbai,Medium,Packaged Foods,20.5,527.0,26701,2024-05-01,SafeExpress
SHP01989,Ahmedabad,Mumbai,Medium,Textiles,19.2,526.9,25268,2024-05-01,Om Sai Transport
SHP01990,Kolkata,Bhubaneswar,Medium,Automobile Parts,11.4,437.9,12220,2024-05-01,Western Carriers
SHP01991,Bangalore,Hyderabad,Medium,Electronics,24.9,570.5,33936,2024-05-01,Om Sai Transport
SHP01992,Bangalore,Hyderabad,Medium,Steel Coils,11.1,572.5,15233,2024-05-01,VRL Logistics
SHP01993,Bangalore,Hyderabad,Medium,Steel Coils,15.2,566.3,20964,2024-05-01,VRL Logistics
SHP01994,Mumbai,Delhi,Long,Textiles,11.8,1419.8,33407,2024-05-01,TCI Freight
SHP01995,Mumbai,Delhi,Long,FMCG,20.6,1417.6,59533,2024-05-01,Om Sai Transport
SHP01996,Delhi,Kolkata,Long,Electronics,21.7,1513.5,65130,2024-05-01,Om Sai Transport
SHP01997,Delhi,Kolkata,Long,Chemicals,14.0,1510.2,42440,2024-05-01,Shivam Freight Co
SHP01998,Mumbai,Pune,Short,Steel Coils,19.3,151.6,8564,2024-05-02,Om Sai Transport
SHP01999,Mumbai,Pune,Short,Chemicals,17.8,152.7,7962,2024-05-02,Om Sai Transport
SHP02000,Delhi,Jaipur,Short,Electronics,12.1,282.5,10074,2024-05-02,SafeExpress
SHP02001,Delhi,Jaipur,Short,Automobile Parts,16.8,281.2,13567,2024-05-02,Shivam Freight Co
SHP02002,Delhi,Jaipur,Short,Packaged Foods,18.8,278.2,15105,2024-05-02,Shivam Freight Co
SHP02003,Chennai,Bangalore,Short,Automobile Parts,10.3,349.1,9766,2024-05-02,Shivam Freight Co
SHP02004,Chennai,Bangalore,Short,Chemicals,15.7,347.8,14955,2024-05-02,Shivam Freight Co
SHP02005,Chennai,Bangalore,Short,Packaged Foods,10.5,351.3,10133,2024-05-02,TCI Freight
SHP02006,Ahmedabad,Mumbai,Medium,Chemicals,23.6,533.4,31445,2024-05-02,Om Sai Transport
SHP02007,Ahmedabad,Mumbai,Medium,Automobile Parts,15.1,532.1,20082,2024-05-02,SafeExpress
SHP02008,Kolkata,Bhubaneswar,Medium,Electronics,22.1,442.0,24736,2024-05-02,Western Carriers
SHP02009,Kolkata,Bhubaneswar,Medium,Automobile Parts,24.9,438.3,27621,2024-05-02,TCI Freight
SHP02010,Kolkata,Bhubaneswar,Medium,Automobile Parts,21.5,441.8,23842,2024-05-02,SafeExpress
SHP02011,Bangalore,Hyderabad,Medium,Textiles,10.2,567.1,14145,2024-05-02,Shivam Freight Co
SHP02012,Mumbai,Delhi,Long,Textiles,18.6,1418.4,54399,2024-05-02,VRL Logistics
SHP02013,Mumbai,Delhi,Long,FMCG,13.8,1418.1,41106,2024-05-02,TCI Freight
SHP02014,Mumbai,Delhi,Long,FMCG,14.6,1416.1,43438,2024-05-02,VRL Logistics
SHP02015,Delhi,Kolkata,Long,Textiles,16.6,1509.7,50768,2024-05-02,SafeExpress
SHP02016,Delhi,Kolkata,Long,Chemicals,18.3,1511.1,55921,2024-05-02,Shivam Freight Co
SHP02017,Mumbai,Pune,Short,Textiles,24.3,150.4,10847,2024-05-03,VRL Logistics
SHP02018,Mumbai,Pune,Short,Steel Coils,17.4,148.1,7599,2024-05-03,Om Sai Transport
SHP02019,Mumbai,Pune,Short,Electronics,19.8,153.0,8935,2024-05-03,Shivam Freight Co
SHP02020,Delhi,Jaipur,Short,Electronics,18.7,282.9,15197,2024-05-03,Om Sai Transport
SHP02021,Delhi,Jaipur,Short,Textiles,20.7,276.5,16551,2024-05-03,Shivam Freight Co
SHP02022,Delhi,Jaipur,Short,Electronics,22.9,281.4,18687,2024-05-03,Shivam Freight Co
SHP02023,Chennai,Bangalore,Short,Packaged Foods,17.6,346.9,16662,2024-05-03,Om Sai Transport
SHP02024,Chennai,Bangalore,Short,Electronics,18.6,347.6,18028,2024-05-03,SafeExpress
SHP02025,Ahmedabad,Mumbai,Medium,FMCG,12.1,533.0,15449,2024-05-03,VRL Logistics
SHP02026,Ahmedabad,Mumbai,Medium,Automobile Parts,16.1,528.7,20590,2024-05-03,VRL Logistics
SHP02027,Kolkata,Bhubaneswar,Medium,Chemicals,14.4,438.9,15711,2024-05-03,Shivam Freight Co
SHP02028,Bangalore,Hyderabad,Medium,Chemicals,17.7,572.5,24138,2024-05-03,TCI Freight
SHP02029,Mumbai,Delhi,Long,Steel Coils,18.7,1419.0,55119,2024-05-03,SafeExpress
SHP02030,Delhi,Kolkata,Long,Steel Coils,11.2,1506.6,34548,2024-05-03,TCI Freight
SHP02031,Delhi,Kolkata,Long,Automobile Parts,18.6,1510.0,56844,2024-05-03,TCI Freight
SHP02032,Delhi,Kolkata,Long,Packaged Foods,22.7,1511.9,69419,2024-05-03,TCI Freight
SHP02033,Mumbai,Pune,Short,Chemicals,14.8,150.2,6601,2024-05-04,VRL Logistics
SHP02034,Mumbai,Pune,Short,Textiles,14.9,153.3,6906,2024-05-04,Om Sai Transport
SHP02035,Mumbai,Pune,Short,Steel Coils,21.2,149.6,9394,2024-05-04,SafeExpress
SHP02036,Delhi,Jaipur,Short,Textiles,15.3,278.9,12708,2024-05-04,Western Carriers
SHP02037,Delhi,Jaipur,Short,Steel Coils,13.5,279.9,11347,2024-05-04,TCI Freight
SHP02038,Chennai,Bangalore,Short,Electronics,13.7,353.4,13655,2024-05-04,TCI Freight
SHP02039,Ahmedabad,Mumbai,Medium,Packaged Foods,14.3,528.1,18521,2024-05-04,SafeExpress
SHP02040,Ahmedabad,Mumbai,Medium,Electronics,24.7,529.4,32323,2024-05-04,Om Sai Transport
SHP02041,Ahmedabad,Mumbai,Medium,Packaged Foods,23.1,533.2,29935,2024-05-04,SafeExpress
SHP02042,Kolkata,Bhubaneswar,Medium,FMCG,17.0,441.7,18372,2024-05-04,Shivam Freight Co
SHP02043,Kolkata,Bhubaneswar,Medium,Packaged Foods,10.4,442.7,11287,2024-05-04,Om Sai Transport
SHP02044,Kolkata,Bhubaneswar,Medium,Automobile Parts,17.9,440.1,19443,2024-05-04,VRL Logistics
SHP02045,Bangalore,Hyderabad,Medium,FMCG,20.7,570.5,27601,2024-05-04,VRL Logistics
SHP02046,Bangalore,Hyderabad,Medium,Packaged Foods,19.2,570.7,26290,2024-05-04,Shivam Freight Co
SHP02047,Bangalore,Hyderabad,Medium,Automobile Parts,15.3,571.9,20656,2024-05-04,Western Carriers
SHP02048,Mumbai,Delhi,Long,Steel Coils,17.2,1418.3,49362,2024-05-04,Western Carriers
SHP02049,Mumbai,Delhi,Long,Packaged Foods,23.7,1422.1,69857,2024-05-04,Om Sai Transport
SHP02050,Delhi,Kolkata,Long,Textiles,20.1,1510.7,61605,2024-05-04,SafeExpress
SHP02051,Delhi,Kolkata,Long,FMCG,20.8,1507.4,63278,2024-05-04,Shivam Freight Co
SHP02052,Delhi,Kolkata,Long,Chemicals,17.4,1507.9,52583,2024-05-04,TCI Freight
SHP02053,Mumbai,Pune,Short,Steel Coils,15.8,148.3,7106,2024-05-05,Shivam Freight Co
SHP02054,Mumbai,Pune,Short,Steel Coils,21.0,152.5,9780,2024-05-05,SafeExpress
SHP02055,Delhi,Jaipur,Short,Steel Coils,14.7,283.0,12225,2024-05-05,Shivam Freight Co
SHP02056,Delhi,Jaipur,Short,Steel Coils,17.3,278.3,14096,2024-05-05,VRL Logistics
SHP02057,Delhi,Jaipur,Short,Packaged Foods,13.9,283.5,11671,2024-05-05,Om Sai Transport
SHP02058,Chennai,Bangalore,Short,Steel Coils,18.3,346.8,17573,2024-05-05,Shivam Freight Co
SHP02059,Ahmedabad,Mumbai,Medium,Packaged Foods,18.1,533.7,23973,2024-05-05,SafeExpress
SHP02060,Kolkata,Bhubaneswar,Medium,Automobile Parts,14.2,439.0,16004,2024-05-05,Western Carriers
SHP02061,Bangalore,Hyderabad,Medium,Electronics,14.4,572.6,19514,2024-05-05,Shivam Freight Co
SHP02062,Mumbai,Delhi,Long,Textiles,11.3,1419.9,32461,2024-05-05,Western Carriers
SHP02063,Mumbai,Delhi,Long,Electronics,24.5,1421.3,71875,2024-05-05,Om Sai Transport
SHP02064,Delhi,Kolkata,Long,Electronics,15.0,1507.3,45567,2024-05-05,TCI Freight
SHP02065,Delhi,Kolkata,Long,Packaged Foods,11.1,1511.4,34049,2024-05-05,SafeExpress
SHP02066,Mumbai,Pune,Short,Electronics,14.8,152.4,6727,2024-05-06,Western Carriers
SHP02067,Mumbai,Pune,Short,Steel Coils,19.5,146.3,8297,2024-05-06,TCI Freight
SHP02068,Mumbai,Pune,Short,Textiles,24.1,149.0,10656,2024-05-06,SafeExpress
SHP02069,Delhi,Jaipur,Short,Packaged Foods,14.2,281.9,11539,2024-05-06,TCI Freight
SHP02070,Chennai,Bangalore,Short,Chemicals,16.5,347.7,15998,2024-05-06,Om Sai Transport
SHP02071,Chennai,Bangalore,Short,Chemicals,10.6,351.7,10457,2024-05-06,SafeExpress
SHP02072,Chennai,Bangalore,Short,Chemicals,13.5,351.0,13157,2024-05-06,Western Carriers
SHP02073,Ahmedabad,Mumbai,Medium,Automobile Parts,23.1,532.7,30851,2024-05-06,Western Carriers
SHP02074,Ahmedabad,Mumbai,Medium,Packaged Foods,15.4,529.1,20314,2024-05-06,Om Sai Transport
SHP02075,Kolkata,Bhubaneswar,Medium,Automobile Parts,16.7,439.4,17924,2024-05-06,Shivam Freight Co
SHP02076,Kolkata,Bhubaneswar,Medium,Textiles,24.3,437.4,26286,2024-05-06,Western Carriers
SHP02077,Bangalore,Hyderabad,Medium,Automobile Parts,17.3,572.2,23877,2024-05-06,TCI Freight
SHP02078,Mumbai,Delhi,Long,FMCG,14.0,1416.2,40156,2024-05-06,SafeExpress
SHP02079,Delhi,Kolkata,Long,Automobile Parts,14.8,1508.1,43713,2024-05-06,SafeExpress
SHP02080,Delhi,Kolkata,Long,Electronics,23.7,1509.2,69791,2024-05-06,Om Sai Transport
SHP02081,Mumbai,Pune,Short,Steel Coils,16.1,148.5,7142,2024-05-07,TCI Freight
SHP02082,Delhi,Jaipur,Short,Steel Coils,24.5,276.9,19843,2024-05-07,TCI Freight
SHP02083,Delhi,Jaipur,Short,Automobile Parts,24.3,280.3,19572,2024-05-07,Shivam Freight Co
SHP02084,Delhi,Jaipur,Short,FMCG,15.0,282.2,12286,2024-05-07,TCI Freight
SHP02085,Chennai,Bangalore,Short,Steel Coils,15.4,350.1,14436,2024-05-07,TCI Freight
SHP02086,Ahmedabad,Mumbai,Medium,Textiles,22.0,527.8,28679,2024-05-07,SafeExpress
SHP02087,Ahmedabad,Mumbai,Medium,Packaged Foods,21.0,527.7,27394,2024-05-07,Shivam Freight Co
SHP02088,Ahmedabad,Mumbai,Medium,FMCG,17.9,532.0,23234,2024-05-07,SafeExpress
SHP02089,Kolkata,Bhubaneswar,Medium,Steel Coils,13.5,438.4,14644,2024-05-07,Shivam Freight Co
SHP02090,Kolkata,Bhubaneswar,Medium,Electronics,11.9,438.2,12907,2024-05-07,SafeExpress
SHP02091,Bangalore,Hyderabad,Medium,Chemicals,22.9,573.0,30633,2024-05-07,Western Carriers
SHP02092,Bangalore,Hyderabad,Medium,Electronics,21.0,571.6,27975,2024-05-07,TCI Freight
SHP02093,Bangalore,Hyderabad,Medium,FMCG,12.3,570.8,16719,2024-05-07,SafeExpress
SHP02094,Mumbai,Delhi,Long,Electronics,21.8,1422.9,62671,2024-05-07,Shivam Freight Co
SHP02095,Mumbai,Delhi,Long,Electronics,16.9,1418.4,47957,2024-05-07,TCI Freight
SHP02096,Mumbai,Delhi,Long,Automobile Parts,14.4,1419.8,40895,2024-05-07,TCI Freight
SHP02097,Delhi,Kolkata,Long,Packaged Foods,18.0,1513.3,53583,2024-05-07,SafeExpress
SHP02098,Delhi,Kolkata,Long,Electronics,24.3,1511.8,73397,2024-05-07,Shivam Freight Co
SHP02099,Mumbai,Pune,Short,Textiles,16.0,153.8,7309,2024-05-08,SafeExpress
SHP02100,Mumbai,Pune,Short,FMCG,19.6,150.5,8788,2024-05-08,Western Carriers
SHP02101,Mumbai,Pune,Short,FMCG,11.4,153.8,5198,2024-05-08,SafeExpress
SHP02102,Delhi,Jaipur,Short,Electronics,19.2,277.1,15741,2024-05-08,TCI Freight
SHP02103,Chennai,Bangalore,Short,Textiles,13.8,352.1,13425,2024-05-08,Om Sai Transport
SHP02104,Ahmedabad,Mumbai,Medium,Electronics,16.1,530.5,20233,2024-05-08,Om Sai Transport
SHP02105,Ahmedabad,Mumbai,Medium,Textiles,21.9,532.0,28054,2024-05-08,Western Carriers
SHP02106,Ahmedabad,Mumbai,Medium,Chemicals,16.9,527.9,21442,2024-05-08,Western Carriers
SHP02107,Kolkata,Bhubaneswar,Medium,Steel Coils,16.4,443.4,18303,2024-05-08,Shivam Freight Co
SHP02108,Bangalore,Hyderabad,Medium,Packaged Foods,13.0,567.0,17645,2024-05-08,Shivam Freight Co
SHP02109,Bangalore,Hyderabad,Medium,Chemicals,17.4,573.1,23699,2024-05-08,SafeExpress
SHP02110,Bangalore,Hyderabad,Medium,Packaged Foods,23.1,567.1,30939,2024-05-08,VRL Logistics
SHP02111,Mumbai,Delhi,Long,Textiles,23.2,1421.8,66129,2024-05-08,TCI Freight
SHP02112,Mumbai,Delhi,Long,Textiles,18.5,1423.1,52613,2024-05-08,TCI Freight
SHP02113,Delhi,Kolkata,Long,Automobile Parts,15.6,1513.6,47723,2024-05-08,SafeExpress
SHP02114,Delhi,Kolkata,Long,FMCG,15.0,1507.7,45903,2024-05-08,Om Sai Transport
SHP02115,Delhi,Kolkata,Long,Textiles,20.7,1507.3,62815,2024-05-08,SafeExpress
SHP02116,Mumbai,Pune,Short,Steel Coils,24.7,146.5,10656,2024-05-09,Om Sai Transport
SHP02117,Mumbai,Pune,Short,Packaged Foods,18.1,151.6,8085,2024-05-09,TCI Freight
SHP02118,Delhi,Jaipur,Short,Textiles,19.5,276.5,16068,2024-05-09,Western Carriers
SHP02119,Chennai,Bangalore,Short,Chemicals,22.3,348.2,21170,2024-05-09,Western Carriers
SHP02120,Ahmedabad,Mumbai,Medium,Electronics,24.0,532.1,31101,2024-05-09,Western Carriers
SHP02121,Ahmedabad,Mumbai,Medium,Steel Coils,18.9,527.6,23952,2024-05-09,VRL Logistics
SHP02122,Ahmedabad,Mumbai,Medium,Chemicals,18.5,527.4,23453,2024-05-09,TCI Freight
SHP02123,Kolkata,Bhubaneswar,Medium,Textiles,21.6,438.6,23887,2024-05-09,Western Carriers
SHP02124,Kolkata,Bhubaneswar,Medium,Steel Coils,20.0,443.0,22261,2024-05-09,Shivam Freight Co
SHP02125,Bangalore,Hyderabad,Medium,Steel Coils,22.1,566.7,30076,2024-05-09,SafeExpress
SHP02126,Mumbai,Delhi,Long,FMCG,24.5,1416.6,71428,2024-05-09,SafeExpress
SHP02127,Mumbai,Delhi,Long,FMCG,17.1,1419.4,50204,2024-05-09,Shivam Freight Co
SHP02128,Delhi,Kolkata,Long,Textiles,15.8,1509.0,47154,2024-05-09,TCI Freight
SHP02129,Delhi,Kolkata,Long,Steel Coils,11.2,1508.5,33546,2024-05-09,Om Sai Transport
SHP02130,Mumbai,Pune,Short,Automobile Parts,22.6,151.7,10488,2024-05-10,Western Carriers
SHP02131,Mumbai,Pune,Short,Automobile Parts,20.3,152.3,9457,2024-05-10,Western Carriers
SHP02132,Delhi,Jaipur,Short,Textiles,22.8,282.9,19066,2024-05-10,Western Carriers
SHP02133,Chennai,Bangalore,Short,Automobile Parts,25.0,350.5,24340,2024-05-10,VRL Logistics
SHP02134,Chennai,Bangalore,Short,Automobile Parts,21.2,347.4,19895,2024-05-10,VRL Logistics
SHP02135,Chennai,Bangalore,Short,Packaged Foods,10.1,350.2,9642,2024-05-10,VRL Logistics
SHP02136,Ahmedabad,Mumbai,Medium,Textiles,19.1,533.4,25020,2024-05-10,Western Carriers
SHP02137,Ahmedabad,Mumbai,Medium,Textiles,10.7,529.8,14203,2024-05-10,VRL Logistics
SHP02138,Ahmedabad,Mumbai,Medium,FMCG,24.6,531.0,32851,2024-05-10,Western Carriers
SHP02139,Kolkata,Bhubaneswar,Medium,FMCG,17.4,441.1,19500,2024-05-10,Western Carriers
SHP02140,Kolkata,Bhubaneswar,Medium,Packaged Foods,22.1,442.0,24494,2024-05-10,TCI Freight
SHP02141,Kolkata,Bhubaneswar,Medium,FMCG,12.3,443.2,13960,2024-05-10,Om Sai Transport
SHP02142,Bangalore,Hyderabad,Medium,Packaged Foods,19.6,566.4,25855,2024-05-10,TCI Freight
SHP02143,Mumbai,Delhi,Long,Electronics,21.1,1421.2,60621,2024-05-10,VRL Logistics
SHP02144,Delhi,Kolkata,Long,Chemicals,18.8,1513.2,58572,2024-05-10,Shivam Freight Co
SHP02145,Mumbai,Pune,Short,Steel Coils,20.0,149.3,8996,2024-05-11,TCI Freight
SHP02146,Mumbai,Pune,Short,Packaged Foods,14.0,147.2,6230,2024-05-11,VRL Logistics
SHP02147,Delhi,Jaipur,Short,FMCG,12.6,280.0,10530,2024-05-11,Shivam Freight Co
SHP02148,Delhi,Jaipur,Short,Automobile Parts,18.4,278.5,15008,2024-05-11,TCI Freight
SHP02149,Delhi,Jaipur,Short,Packaged Foods,11.3,282.7,9587,2024-05-11,Shivam Freight Co
SHP02150,Chennai,Bangalore,Short,Packaged Foods,12.8,351.8,12625,2024-05-11,Om Sai Transport
SHP02151,Ahmedabad,Mumbai,Medium,Steel Coils,16.9,531.1,22496,2024-05-11,VRL Logistics
SHP02152,Kolkata,Bhubaneswar,Medium,Electronics,23.0,443.5,26037,2024-05-11,Om Sai Transport
SHP02153,Kolkata,Bhubaneswar,Medium,Textiles,15.7,438.5,17332,2024-05-11,Om Sai Transport
SHP02154,Kolkata,Bhubaneswar,Medium,Textiles,16.2,440.5,18263,2024-05-11,Om Sai Transport
SHP02155,Bangalore,Hyderabad,Medium,Textiles,16.6,568.1,22068,2024-05-11,TCI Freight
SHP02156,Bangalore,Hyderabad,Medium,FMCG,21.6,568.9,29131,2024-05-11,Western Carriers
SHP02157,Mumbai,Delhi,Long,Chemicals,22.5,1416.3,65590,2024-05-11,TCI Freight
SHP02158,Delhi,Kolkata,Long,Textiles,19.7,1509.5,59107,2024-05-11,Om Sai Transport
SHP02159,Delhi,Kolkata,Long,Electronics,24.5,1508.7,73184,2024-05-11,VRL Logistics
SHP02160,Delhi,Kolkata,Long,Automobile Parts,21.6,1506.7,63869,2024-05-11,VRL Logistics
SHP02161,Mumbai,Pune,Short,Automobile Parts,19.5,150.1,8610,2024-05-12,TCI Freight
SHP02162,Delhi,Jaipur,Short,Electronics,18.8,279.0,15149,2024-05-12,Shivam Freight Co
SHP02163,Delhi,Jaipur,Short,Automobile Parts,23.0,281.0,18651,2024-05-12,SafeExpress
SHP02164,Delhi,Jaipur,Short,Textiles,19.7,278.7,15889,2024-05-12,VRL Logistics
SHP02165,Chennai,Bangalore,Short,Automobile Parts,10.3,347.5,9800,2024-05-12,TCI Freight
SHP02166,Chennai,Bangalore,Short,FMCG,16.5,350.6,15646,2024-05-12,Om Sai Transport
SHP02167,Chennai,Bangalore,Short,Electronics,15.6,348.0,14656,2024-05-12,SafeExpress
SHP02168,Ahmedabad,Mumbai,Medium,Automobile Parts,23.5,532.1,30397,2024-05-12,SafeExpress
SHP02169,Kolkata,Bhubaneswar,Medium,Textiles,10.4,439.2,11549,2024-05-12,TCI Freight
SHP02170,Kolkata,Bhubaneswar,Medium,Chemicals,24.1,443.7,26782,2024-05-12,Om Sai Transport
SHP02171,Kolkata,Bhubaneswar,Medium,Packaged Foods,15.0,437.0,16796,2024-05-12,VRL Logistics
SHP02172,Bangalore,Hyderabad,Medium,Packaged Foods,16.9,572.4,23253,2024-05-12,Western Carriers
SHP02173,Mumbai,Delhi,Long,Steel Coils,11.2,1418.4,31853,2024-05-12,SafeExpress
SHP02174,Delhi,Kolkata,Long,Packaged Foods,18.3,1507.2,54708,2024-05-12,SafeExpress
SHP02175,Mumbai,Pune,Short,Automobile Parts,20.3,149.8,9052,2024-05-13,Western Carriers
SHP02176,Delhi,Jaipur,Short,Steel Coils,21.4,281.6,17475,2024-05-13,VRL Logistics
SHP02177,Delhi,Jaipur,Short,Textiles,12.0,282.1,10018,2024-05-13,Western Carriers
SHP02178,Chennai,Bangalore,Short,Electronics,18.0,350.8,17444,2024-05-13,Western Carriers
SHP02179,Chennai,Bangalore,Short,Steel Coils,10.4,353.8,10330,2024-05-13,Om Sai Transport
SHP02180,Ahmedabad,Mumbai,Medium,Automobile Parts,10.0,530.0,12955,2024-05-13,Shivam Freight Co
SHP02181,Ahmedabad,Mumbai,Medium,Steel Coils,12.1,531.2,15518,2024-05-13,VRL Logistics
SHP02182,Kolkata,Bhubaneswar,Medium,Textiles,12.7,439.1,13760,2024-05-13,SafeExpress
SHP02183,Kolkata,Bhubaneswar,Medium,Automobile Parts,17.2,441.4,18795,2024-05-13,Om Sai Transport
SHP02184,Bangalore,Hyderabad,Medium,Textiles,11.6,570.1,15802,2024-05-13,Western Carriers
SHP02185,Bangalore,Hyderabad,Medium,FMCG,19.8,571.9,26734,2024-05-13,Shivam Freight Co
SHP02186,Bangalore,Hyderabad,Medium,Electronics,11.9,567.3,15987,2024-05-13,SafeExpress
SHP02187,Mumbai,Delhi,Long,Textiles,16.0,1423.7,46158,2024-05-13,SafeExpress
SHP02188,Mumbai,Delhi,Long,FMCG,19.5,1418.1,55754,2024-05-13,SafeExpress
SHP02189,Mumbai,Delhi,Long,FMCG,21.7,1420.0,62329,2024-05-13,TCI Freight
SHP02190,Delhi,Kolkata,Long,Automobile Parts,24.7,1512.3,76190,2024-05-13,Western Carriers
SHP02191,Mumbai,Pune,Short,Steel Coils,24.0,148.7,10555,2024-05-14,TCI Freight
SHP02192,Delhi,Jaipur,Short,Packaged Foods,16.5,283.0,13933,2024-05-14,Shivam Freight Co
SHP02193,Delhi,Jaipur,Short,Chemicals,16.9,282.9,14088,2024-05-14,Western Carriers
SHP02194,Delhi,Jaipur,Short,FMCG,16.4,279.0,13739,2024-05-14,Shivam Freight Co
SHP02195,Chennai,Bangalore,Short,Textiles,16.3,348.3,15614,2024-05-14,Western Carriers
SHP02196,Ahmedabad,Mumbai,Medium,Steel Coils,10.5,528.9,13449,2024-05-14,Om Sai Transport
SHP02197,Kolkata,Bhubaneswar,Medium,Textiles,12.2,437.0,13104,2024-05-14,VRL Logistics
SHP02198,Bangalore,Hyderabad,Medium,Electronics,23.8,570.9,33628,2024-05-14,TCI Freight
SHP02199,Bangalore,Hyderabad,Medium,Packaged Foods,10.6,570.6,14713,2024-05-14,Om Sai Transport
SHP02200,Bangalore,Hyderabad,Medium,Packaged Foods,20.9,570.9,29450,2024-05-14,SafeExpress
SHP02201,Mumbai,Delhi,Long,Automobile Parts,23.9,1416.6,69961,2024-05-14,SafeExpress
SHP02202,Mumbai,Delhi,Long,Electronics,24.3,1416.2,70069,2024-05-14,Western Carriers
SHP02203,Mumbai,Delhi,Long,Packaged Foods,22.6,1423.1,65834,2024-05-14,Om Sai Transport
SHP02204,Delhi,Kolkata,Long,Electronics,18.1,1510.9,55333,2024-05-14,Shivam Freight Co
SHP02205,Delhi,Kolkata,Long,Automobile Parts,17.1,1509.0,52159,2024-05-14,VRL Logistics
SHP02206,Mumbai,Pune,Short,Steel Coils,20.1,148.2,9053,2024-05-15,Western Carriers
SHP02207,Delhi,Jaipur,Short,Steel Coils,10.3,279.3,8392,2024-05-15,VRL Logistics
SHP02208,Chennai,Bangalore,Short,Steel Coils,19.5,352.3,18490,2024-05-15,Shivam Freight Co
SHP02209,Chennai,Bangalore,Short,Electronics,13.3,351.7,12786,2024-05-15,Western Carriers
SHP02210,Chennai,Bangalore,Short,Chemicals,16.9,350.9,16118,2024-05-15,VRL Logistics
SHP02211,Ahmedabad,Mumbai,Medium,Textiles,10.2,533.4,13288,2024-05-15,SafeExpress
SHP02212,Ahmedabad,Mumbai,Medium,Chemicals,22.8,527.2,29497,2024-05-15,Western Carriers
SHP02213,Kolkata,Bhubaneswar,Medium,Packaged Foods,10.5,438.0,11466,2024-05-15,Western Carriers
SHP02214,Kolkata,Bhubaneswar,Medium,Electronics,24.8,439.9,26577,2024-05-15,TCI Freight
SHP02215,Bangalore,Hyderabad,Medium,Steel Coils,16.8,572.0,22920,2024-05-15,TCI Freight
SHP02216,Bangalore,Hyderabad,Medium,Automobile Parts,19.4,570.7,26484,2024-05-15,Shivam Freight Co
SHP02217,Mumbai,Delhi,Long,Chemicals,17.4,1420.5,50771,2024-05-15,Om Sai Transport
SHP02218,Mumbai,Delhi,Long,Automobile Parts,24.2,1419.0,70301,2024-05-15,Om Sai Transport
SHP02219,Delhi,Kolkata,Long,FMCG,12.7,1510.6,37538,2024-05-15,Western Carriers
SHP02220,Mumbai,Pune,Short,Chemicals,21.3,149.3,9699,2024-05-16,VRL Logistics
SHP02221,Mumbai,Pune,Short,Electronics,15.4,148.6,6914,2024-05-16,Western Carriers
SHP02222,Mumbai,Pune,Short,Automobile Parts,14.8,152.1,6890,2024-05-16,Om Sai Transport
SHP02223,Delhi,Jaipur,Short,Steel Coils,14.3,282.1,12225,2024-05-16,Om Sai Transport
SHP02224,Delhi,Jaipur,Short,FMCG,10.1,279.2,8522,2024-05-16,SafeExpress
SHP02225,Chennai,Bangalore,Short,Automobile Parts,15.8,353.3,15518,2024-05-16,SafeExpress
SHP02226,Chennai,Bangalore,Short,Chemicals,10.4,347.5,9918,2024-05-16,TCI Freight
SHP02227,Chennai,Bangalore,Short,Automobile Parts,11.2,350.0,10870,2024-05-16,Shivam Freight Co
