route,week_of,cost_per_tonne_km,vs_own_history,vs_similar_routes,flagged,matched_note_id,reason
Delhi-Jaipur,2024-06-10,2.93,-0.2% vs this route's past average,+2.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-06-10,1.99,-0.2% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-06-10,2.49,-0.2% vs this route's past average,+2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-06-10,2.05,+0.4% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-06-10,3.00,+0.1% vs this route's past average,+5.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-06-17,2.43,-0.7% vs this route's past average,-1.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-06-17,2.41,+1.0% vs this route's past average,-2.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-06-17,2.75,-0.1% vs this route's past average,-7.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-06-17,2.94,+0.1% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-06-17,2.00,+0.2% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-06-17,2.50,+0.3% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-06-17,2.05,+0.4% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-06-17,3.00,+0.0% vs this route's past average,+5.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-06-24,2.46,+0.7% vs this route's past average,+0.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-06-24,2.38,-0.3% vs this route's past average,-4.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-06-24,2.77,+0.6% vs this route's past average,-6.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-06-24,2.95,+0.4% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-06-24,2.01,+0.7% vs this route's past average,-1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-06-24,2.50,+0.3% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-06-24,2.04,-0.2% vs this route's past average,+1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-06-24,2.97,-1.0% vs this route's past average,+3.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-07-01,2.45,+0.3% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-07-01,2.40,+0.6% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-07-01,2.76,+0.3% vs this route's past average,-6.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-07-01,2.95,+0.3% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-07-01,1.99,-0.3% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-07-01,2.51,+0.7% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-07-01,2.05,+0.3% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-07-01,2.98,-0.6% vs this route's past average,+4.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-07-08,2.43,-0.6% vs this route's past average,+0.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-07-08,2.39,+0.0% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-07-08,2.77,+0.5% vs this route's past average,-7.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-07-08,2.99,+1.6% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-07-08,1.99,-0.3% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-07-08,2.47,-0.9% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-07-08,2.05,+0.2% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-07-08,3.01,+0.4% vs this route's past average,+4.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-07-15,2.45,+0.3% vs this route's past average,+0.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-07-15,2.40,+0.5% vs this route's past average,-3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-07-15,2.76,+0.1% vs this route's past average,-7.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-07-15,2.95,+0.0% vs this route's past average,+2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-07-15,2.02,+1.3% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-07-15,2.50,+0.4% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-07-15,2.07,+1.1% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-07-15,2.99,-0.2% vs this route's past average,+4.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-07-22,2.47,+1.0% vs this route's past average,+0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-07-22,2.41,+0.7% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-07-22,2.75,-0.2% vs this route's past average,-7.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-07-22,2.95,+0.1% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-07-22,2.00,+0.1% vs this route's past average,-1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-07-22,2.51,+0.8% vs this route's past average,+2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-07-22,2.03,-1.0% vs this route's past average,+1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-07-22,2.99,-0.2% vs this route's past average,+4.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-07-29,2.44,-0.3% vs this route's past average,-0.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-07-29,2.40,+0.2% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-07-29,2.75,-0.2% vs this route's past average,-7.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-07-29,2.95,+0.0% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-07-29,2.01,+0.4% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-07-29,2.52,+1.0% vs this route's past average,+4.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-07-29,2.07,+1.0% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-07-29,2.99,-0.1% vs this route's past average,+4.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-08-05,2.46,+0.5% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-08-05,2.40,+0.1% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-08-05,2.76,+0.1% vs this route's past average,-7.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-08-05,2.97,+0.6% vs this route's past average,+2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-08-05,2.01,+0.4% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-08-05,2.51,+0.4% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-08-05,2.05,-0.1% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-08-05,3.01,+0.6% vs this route's past average,+5.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-08-12,2.42,-1.2% vs this route's past average,-0.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-08-12,2.39,-0.4% vs this route's past average,-2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-08-12,2.74,-0.7% vs this route's past average,-7.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-08-12,2.95,-0.2% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-08-12,2.00,-0.2% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-08-12,2.49,-0.5% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-08-12,2.06,+0.4% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-08-12,3.00,+0.3% vs this route's past average,+5.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-08-19,2.46,+0.5% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-08-19,2.40,+0.2% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-08-19,2.75,-0.3% vs this route's past average,-7.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-08-19,2.95,-0.3% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-08-19,2.01,+0.3% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-08-19,2.51,+0.3% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-08-19,2.05,-0.1% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-08-19,3.01,+0.6% vs this route's past average,+5.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-08-26,2.45,+0.1% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-08-26,2.39,-0.4% vs this route's past average,-3.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-08-26,2.76,+0.2% vs this route's past average,-6.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-08-26,2.92,-1.3% vs this route's past average,+1.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-08-26,2.00,-0.2% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-08-26,2.52,+0.7% vs this route's past average,+4.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-08-26,2.04,-0.7% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-08-26,3.00,+0.1% vs this route's past average,+5.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-09-02,2.46,+0.5% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-09-02,2.41,+0.5% vs this route's past average,-2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-09-02,2.74,-0.5% vs this route's past average,-7.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-09-02,2.93,-0.8% vs this route's past average,+1.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-09-02,1.99,-0.7% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-09-02,2.50,-0.1% vs this route's past average,+2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-09-02,2.05,-0.1% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-09-02,3.02,+0.7% vs this route's past average,+6.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-09-09,2.47,+0.8% vs this route's past average,+0.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-09-09,2.40,-0.0% vs this route's past average,-3.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-09-09,2.76,+0.3% vs this route's past average,-7.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-09-09,2.97,+0.8% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-09-09,2.00,-0.2% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-09-09,2.51,+0.1% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-09-09,2.04,-0.6% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-09-09,3.00,-0.0% vs this route's past average,+4.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-09-16,2.44,-0.6% vs this route's past average,+0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-09-16,2.39,-0.4% vs this route's past average,-2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-09-16,2.76,+0.3% vs this route's past average,-7.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-09-16,2.95,+0.0% vs this route's past average,+2.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-09-16,1.99,-0.6% vs this route's past average,-2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-09-16,2.47,-1.5% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-09-16,2.04,-0.4% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-09-16,3.02,+0.6% vs this route's past average,+5.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-09-23,2.44,-0.4% vs this route's past average,-1.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-09-23,2.42,+0.9% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-09-23,2.79,+1.4% vs this route's past average,-6.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-09-23,2.97,+0.7% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-09-23,1.99,-0.6% vs this route's past average,-2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-09-23,2.52,+0.6% vs this route's past average,+3.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-09-23,2.04,-0.5% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-09-23,2.99,-0.5% vs this route's past average,+3.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-09-30,2.45,+0.0% vs this route's past average,-0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-09-30,2.41,+0.4% vs this route's past average,-2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-09-30,2.72,-1.4% vs this route's past average,-8.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-09-30,2.92,-1.1% vs this route's past average,+1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-09-30,1.99,-0.4% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-09-30,2.51,+0.2% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-09-30,2.05,+0.2% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-09-30,3.01,+0.1% vs this route's past average,+6.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-10-07,2.47,+0.9% vs this route's past average,+1.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-10-07,2.40,-0.1% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-10-07,2.74,-0.5% vs this route's past average,-8.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-10-07,2.98,+1.2% vs this route's past average,+3.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-10-07,1.99,-0.3% vs this route's past average,-2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-10-07,2.49,-0.5% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-10-07,2.04,-0.3% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-10-07,3.00,-0.2% vs this route's past average,+4.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-10-14,2.45,-0.2% vs this route's past average,-0.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-10-14,2.43,+1.1% vs this route's past average,-2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-10-14,2.76,+0.3% vs this route's past average,-7.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-10-14,2.93,-0.6% vs this route's past average,+1.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-10-14,2.01,+0.8% vs this route's past average,-1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-10-14,2.51,+0.2% vs this route's past average,+2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-10-14,2.04,-0.2% vs this route's past average,+1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-10-14,3.02,+0.5% vs this route's past average,+6.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-10-21,2.46,+0.3% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-10-21,2.40,-0.3% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-10-21,2.74,-0.5% vs this route's past average,-7.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-10-21,2.93,-0.6% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-10-21,2.00,+0.3% vs this route's past average,-1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-10-21,2.51,+0.2% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-10-21,2.03,-0.6% vs this route's past average,+1.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-10-21,2.99,-0.6% vs this route's past average,+5.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-10-28,2.47,+0.6% vs this route's past average,+0.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-10-28,2.40,-0.3% vs this route's past average,-3.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-10-28,2.76,+0.3% vs this route's past average,-7.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-10-28,2.95,+0.1% vs this route's past average,+2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-10-28,1.99,-0.3% vs this route's past average,-2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-10-28,2.51,+0.3% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-10-28,2.04,-0.1% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-10-28,2.99,-0.5% vs this route's past average,+4.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-11-04,2.46,+0.2% vs this route's past average,+0.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-11-04,2.38,-1.1% vs this route's past average,-4.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-11-04,2.76,+0.2% vs this route's past average,-7.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-11-04,2.97,+0.7% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-11-04,2.00,+0.3% vs this route's past average,-2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-11-04,2.50,-0.1% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-11-04,2.05,+0.5% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-11-04,3.02,+0.6% vs this route's past average,+5.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-11-11,2.46,+0.2% vs this route's past average,+0.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-11-11,2.39,-0.6% vs this route's past average,-4.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-11-11,2.77,+0.6% vs this route's past average,-22.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-11-11,4.14,+40.3% vs this route's past average,+43.0% vs similar-length routes this week,Yes,,No matching note found for this route or date range. Cost rise looks unexplained and worth a human review.
Delhi-Kolkata,2024-11-11,2.02,+1.3% vs this route's past average,-1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-11-11,2.53,+1.1% vs this route's past average,+4.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-11-11,2.06,+0.9% vs this route's past average,+2.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2024-11-11,3.02,+0.5% vs this route's past average,-12.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2024-11-18,2.46,+0.1% vs this route's past average,+0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2024-11-18,2.41,+0.3% vs this route's past average,-2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2024-11-18,2.74,-0.5% vs this route's past average,-7.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2024-11-18,2.93,-5.4% vs this route's past average,+2.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2024-11-18,1.99,-0.4% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2024-11-18,2.49,-0.8% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2024-11-18,2.05,+0.3% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
